-101,-103,97,53
-102,-107,97,53
-102,-105,97,53
-105,-110,97,53
-107,-114,97,53
-97,-101,97,53
-96,-102,97,53
-97,-104,97,53
-99,-105,97,53
-96,-102,97,53
-102,-106,97,53
-107,-111,97,53
-105,-108,97,53
-107,-110,97,53
-105,-108,97,53
-107,-109,97,53
-105,-110,97,53
-97,-96,97,53
-109,-104,97,53
-111,-104,97,53
-106,-99,97,53
-108,-111,97,53
-102,-108,97,53
-106,-105,97,53
-109,-104,97,53
-107,-106,97,53
-105,-109,97,53
-102,-107,97,53
-107,-110,32767,32767
-107,-111,32767,32767
-107,-107,32767,32767
-107,-105,32767,32767
-108,-106,32767,32767
-105,-104,32767,32767
-108,-109,32767,32767
-107,-110,32767,32767
-101,-107,32767,32767
-101,-107,32767,32767
-105,-112,32767,32767
-105,-103,32767,32767
-105,-109,32767,32767
-101,-104,97,53
-104,-107,97,53
-105,-107,97,53
-109,-109,97,53
-106,-110,97,53
-109,-113,97,53
-102,-105,97,53
-105,-108,97,53
-101,-106,97,53
-103,-109,97,53
-102,-105,97,53
-102,-107,97,53
-103,-105,97,53
-106,-108,97,53
-105,-106,97,53
-108,-109,97,53
-106,-109,97,53
-103,-110,97,53
-102,-106,97,53
-101,-104,97,53
-103,-104,97,53
-108,-109,97,53
-103,-107,97,53
-101,-105,97,53
-105,-105,97,53
-104,-105,97,53
-109,-113,97,53
-109,-107,97,53
-101,-100,97,53
-107,-103,97,53
-108,-109,97,53
-106,-109,97,53
-105,-107,97,53
-108,-101,97,53
32767,32767,32767,32767
-109,-115,97,53
-108,-105,97,53
-109,-106,97,53
-106,-108,97,53
-103,-107,97,53
-103,-104,97,53
-109,-112,97,53
-104,-109,97,53
-103,-107,97,53
-103,-106,97,53
-105,-110,97,53
-103,-108,97,53
-107,-113,97,53
-108,-106,97,53
-105,-107,97,53
-105,-107,97,53
-103,-108,97,53
-103,-107,97,53
-103,-110,97,53
-98,-103,97,53
-97,-104,97,53
-96,-104,97,53
-103,-105,97,53
-105,-110,97,53
-109,-114,97,53
-98,-102,97,53
-96,-103,97,53
32767,32767,32767,32767
32767,32767,32767,32767
-105,-111,97,53
-109,-115,97,53
-94,-99,97,53
-96,-103,97,53
-101,-105,97,53
-95,-102,97,53
-91,-98,97,53
-91,-100,97,53
-96,-103,97,53
-94,-101,97,53
32767,32767,32767,32767
-99,-106,97,53
-108,-115,97,53
-93,-99,97,53
-95,-99,97,53
-103,-110,97,53
-87,-96,97,53
-89,-98,97,53
-101,-108,97,53
-99,-107,97,53
-103,-110,97,53
-87,-93,97,53
-94,-102,97,53
-85,-93,97,53
-90,-98,97,53
-97,-106,32767,32767
-93,-99,32767,32767
-93,-98,32767,32767
-89,-96,32767,32767
-101,-109,32767,32767
-99,-107,32767,32767
-95,-104,32767,32767
-100,-105,32767,32767
-95,-101,32767,32767
-89,-97,32767,32767
-105,-111,32767,32767
-88,-94,32767,32767
-101,-108,32767,32767
-92,-98,108,54
-95,-102,108,54
-93,-99,108,54
-103,-109,108,54
-99,-106,108,54
-95,-103,108,54
-90,-97,108,54
-94,-101,108,54
-94,-98,108,54
-109,-114,108,54
-97,-103,108,54
-101,-109,108,54
-96,-99,108,54
-108,-109,113,54
-102,-106,113,54
-101,-106,113,54
-111,-115,113,54
-107,-108,113,54
-99,-104,113,54
-101,-104,113,54
-101,-104,113,54
-109,-111,113,54
-103,-106,113,54
-102,-105,113,54
-97,-99,113,54
32767,32767,32767,32767
-102,-104,113,54
-103,-107,113,54
-107,-107,113,54
-103,-104,117,55
-111,-114,117,55
-107,-111,117,55
-108,-109,117,55
-103,-104,117,55
-109,-110,117,55
-101,-105,117,55
-97,-101,117,55
-109,-112,117,55
-102,-106,117,55
32767,32767,32767,32767
-111,-115,117,55
-101,-105,117,55
-103,-105,125,58
-102,-98,125,58
-103,-100,125,58
-107,-110,125,58
-100,-104,125,58
-102,-107,125,58
-106,-109,125,58
-103,-105,125,58
32767,32767,32767,32767
32767,32767,32767,32767
-100,-98,125,58
-107,-109,125,58
-105,-108,125,58
-112,-113,130,61
32767,32767,32767,32767
-111,-109,130,61
-104,-103,130,61
-111,-110,130,61
-108,-108,130,61
-106,-107,130,61
-108,-103,130,61
-108,-100,130,61
-107,-103,130,61
-111,-107,130,61
-109,-107,130,61
32767,32767,32767,32767
-108,-105,130,61
32767,32767,32767,32767
-109,-102,130,61
-111,-104,136,66
-109,-101,136,66
32767,32767,32767,32767
32767,32767,32767,32767
32767,32767,32767,32767
32767,32767,32767,32767
-108,-98,136,66
-109,-99,136,66
32767,32767,32767,32767
32767,32767,32767,32767
32767,32767,32767,32767
32767,32767,32767,32767
-111,-101,136,66
-109,-98,32767,32767
32767,32767,32767,32767
32767,32767,32767,32767
32767,32767,32767,32767
-111,-99,32767,32767
-111,-103,32767,32767
-111,-101,32767,32767
32767,32767,32767,32767
32767,32767,32767,32767
32767,32767,32767,32767
32767,32767,32767,32767
-111,-103,32767,32767
-109,-106,32767,32767
