0.707,1.015
0.743,0.939
0.707,0.957
0.747,0.932
0.780,0.975
0.773,0.927
0.857,0.869
0.817,0.958
0.820,0.937
0.860,0.895
0.820,0.940
0.867,0.972
0.870,0.949
0.813,0.956
0.827,0.968
0.867,0.963
0.840,0.964
0.840,0.985
0.787,0.989
0.880,0.984
0.823,0.938
0.840,0.933
0.843,0.872
0.750,0.963
0.760,0.972
0.873,0.952
0.943,0.983
0.890,0.979
0.910,0.948
0.897,0.880
0.847,0.988
0.887,0.979
0.890,0.960
0.917,0.980
0.873,0.981
0.873,0.997
0.867,0.992
0.977,0.995
0.997,1.001
0.940,0.983
0.857,1.010
0.867,1.014
0.873,0.990
0.890,0.995
0.917,1.001
0.870,0.998
0.890,0.988
0.857,0.998
0.820,1.020
0.870,0.949
0.850,1.015
0.837,1.018
0.860,0.839
0.843,0.976
0.857,0.977
0.877,0.957
0.880,0.996
0.813,0.970
0.800,0.960
0.833,0.978
0.823,1.003
0.820,0.929
0.790,0.972
0.877,0.965
0.917,0.994
0.867,0.936
0.847,0.990
0.857,0.986
0.853,0.958
0.857,0.988
0.793,0.979
0.880,0.924
0.833,0.991
0.863,0.977
0.857,0.977
0.893,0.311
0.870,0.243
0.860,0.951
0.790,0.968
0.863,0.956
0.867,0.974
0.917,1.000
0.863,0.996
0.873,0.970
0.847,1.005
0.800,1.015
0.873,1.016
0.800,0.980
0.857,0.973
0.777,0.965
0.820,0.949
0.837,0.973
0.803,0.954
0.840,0.964
0.787,1.019
0.890,0.966
0.803,0.953
0.930,0.467
0.853,1.001
0.857,0.979
0.817,0.981
0.867,0.973
0.830,1.004
0.843,0.987
0.897,1.001
0.807,0.996
0.853,0.952
0.890,0.995
0.847,0.960
0.817,0.968
0.790,1.007
0.867,0.957
0.897,0.971
0.860,0.999
0.843,0.959
0.893,1.000
0.940,1.022
0.963,1.013
0.887,1.021
0.760,1.023
0.907,0.976
0.820,0.972
0.863,0.989
0.810,1.007
0.783,1.022
0.867,0.938
0.923,0.973
0.873,0.971
0.857,0.974
0.887,0.992
0.853,0.992
0.803,1.037
0.820,1.009
0.770,1.046
0.873,0.959
0.880,0.985
0.857,0.938
0.883,0.988
0.847,0.997
0.810,0.978
0.887,0.964
0.807,1.005
0.910,0.981
0.910,0.993
0.847,1.005
0.840,1.009
0.820,1.011
0.830,0.995
0.810,1.010
0.880,0.995
0.983,1.005
0.890,0.988
0.830,1.011
0.833,0.990
0.840,1.012
0.873,1.000
0.770,1.032
0.880,0.935
0.863,0.983
0.873,0.959
0.813,1.012
0.827,1.008
0.850,0.978
0.807,0.970
0.850,0.963
0.807,0.998
0.850,0.981
0.827,0.990
0.783,1.000
0.887,0.939
0.877,0.975
0.817,1.002
0.867,0.976
0.863,0.982
0.890,0.964
0.857,0.920
0.850,0.947
0.897,1.003
0.857,1.013
0.897,0.979
0.857,0.937
0.740,0.980
0.730,0.994
0.803,0.974
0.890,0.959
0.850,0.980
0.887,0.960
0.883,0.968
0.877,0.961
0.890,0.961
0.903,0.954
0.863,1.018
0.790,1.010
0.840,0.957
0.887,1.003
0.887,0.973
0.823,1.017
0.833,0.970
0.860,0.954
0.863,0.998
0.883,0.932
0.837,0.985
0.900,1.009
0.850,0.984
0.820,1.026
0.883,0.979
0.813,0.999
0.843,0.996
0.830,0.982
0.850,1.015
0.900,0.997
0.857,1.000
0.823,1.009
0.800,1.003
0.817,0.987
0.840,1.007
0.793,1.008
0.880,0.966
0.883,1.011
0.830,1.019
0.857,1.010
0.830,1.012
0.823,0.937
0.863,0.994
0.790,1.023
0.873,0.978
0.857,0.965
0.820,0.946
0.870,0.989
0.830,1.027
0.830,1.014
0.847,0.996
0.843,0.982
0.770,1.058
0.917,0.732
0.860,0.898
0.913,0.979
0.943,1.000
0.867,1.011
0.850,0.988
0.860,0.969
0.917,1.002
0.810,1.024
0.833,1.024
0.947,1.000
0.823,0.992
0.763,1.006
0.867,0.965
0.897,0.991
0.843,0.982
0.850,1.022
0.837,0.994
0.837,0.991
